venue,source_event_id,source_market_id,event_id,market_id,category,title,timestamp,close_time,market_prob,yes_bid,yes_ask,quote_source,has_executable_quotes,volume,open_interest,volume_available,open_interest_available,resolved,resolution_source
kalshi,KXTEMPNYCH-26JUN2218,KXTEMPNYCH-26JUN2218-T68.99,kalshi:KXTEMPNYCH-26JUN2218,kalshi:KXTEMPNYCH-26JUN2218-T68.99,unknown,"Will the temp in New York City be above 68.99° on Jun 22, 2026 at 6pm EDT?",2026-06-22 22:00:00+00:00,2026-06-22 23:20:44.090467+00:00,0.02,0.02,0.02,candlestick_close_bid_ask,False,3467.09,3411.09,True,True,0,kalshi_result
kalshi,KXTEMPNYCH-26JUN2218,KXTEMPNYCH-26JUN2218-T68.99,kalshi:KXTEMPNYCH-26JUN2218,kalshi:KXTEMPNYCH-26JUN2218-T68.99,unknown,"Will the temp in New York City be above 68.99° on Jun 22, 2026 at 6pm EDT?",2026-06-22 23:00:00+00:00,2026-06-22 23:20:44.090467+00:00,0.02,0.02,1.0,candlestick_close_bid_ask,False,0.0,3411.09,True,True,0,kalshi_result
